机构号,网点名称,营业状态,行政区,网点类型,营业部,管理行,权属,营业面积,到期时间,装修时间,人数,行评等级,X,Y
B0268S262010025,永通支行,营业中,城关区,综合型,否,城关管理行,租赁,1397.04,2019/9/1,2010/7/1,24,一类,103.8198155,36.05704427
B0268S262010023,德隆支行,营业中,城关区,综合型,否,城关管理行,购置,1116.4,,2010/10/1,24,一类,103.819401,36.054753
B0268S262010020,信昌支行,营业中,城关区,综合型,否,城关管理行,租赁,320,2019/3/1,2015/3/1,22,二类,103.81458,36.062142
B0268S262010028,德源支行,营业中,城关区,综合型,否,城关管理行,租赁,279,2019/9/1,2013/8/1,19,四类,103.8134784,36.05375409
B0268S262010080,白塔山支行,营业中,城关区,综合型,否,城关管理行,购置,357.96,,2011/1/1,21,二类,103.836204,36.070602
B0268S262010018,中山支行,营业中,城关区,综合型,否,城关管理行,购置,1054.66,,2011/12/1,26,二类,103.8150943,36.05859561
B0268S262010035,秦安路支行,营业中,城关区,综合型,否,城关管理行,购置,263.85,,2012/9/1,19,二类,103.831623,36.059289
B0268S262010002,民大支行,营业中,城关区,综合型,否,城关管理行,租赁,743.95,2019/5/1,2015/1/1,22,二类,103.826675,36.040286
B0268S262010027,白银路支行,营业中,城关区,综合型,否,城关管理行,购置,532,,2009/9/1,17,四类,103.819524,36.04825616
B0268S262010022,永昌路支行,营业中,城关区,综合型,否,城关管理行,购置,320,,2008/1/1,21,三类,103.818167,36.063019
B0268S262010049,民升支行,营业中,城关区,综合型,否,城关管理行,购置,1192,,2008/4/1,21,三类,103.8561738,36.06829762
B0268S262010026,诚信支行,营业中,城关区,综合型,否,城关管理行,购置,638.71,,2011/10/1,20,三类,103.817518,36.053092
B0268S262010061,张掖路支行,装修中,城关区,社区支行,否,城关管理行,购置,,,,,,103.8201808,36.05959086
B0268S262010100,兰州大沙坪社区支行,营业中,城关区,社区支行,否,城关管理行,租赁,,,,2,,103.8326418,36.07569795
B0268S262010105,兰州连铝花苑社区支行,营业中,城关区,社区支行,否,城关管理行,租赁,,,,2,,103.7954972,36.07231198
B0268S262010107,兰州牟家庄社区支行,营业中,城关区,社区支行,否,城关管理行,租赁,,,,3,,103.8316798,36.03562832
B0268S262010113,兰州静宁路社区支行,营业中,城关区,社区支行,否,城关管理行,租赁,,,,3,,103.8292336,36.05668902
B0268S262010116,兰州创意文化产业园小微支行,营业中,城关区,小微支行,否,城关管理行,租赁,,,,3,,103.8794446,36.04833126
B0268S262010014,桃林支行,营业中,安宁区,综合型,否,安宁管理行,租赁,460,2019/3/1,2014/3/1,27,二类,103.7410533,36.10002279
B0268S262010092,刘家堡支行,营业中,安宁区,综合型,否,安宁管理行,购置,974.02,,2014/12/31,24,三类,103.6955577,36.10711992
B0268S262010095,科教城支行,营业中,安宁区,综合型,否,安宁管理行,租赁,696,2019/5/1,2015/1/1,19,四类,103.7231002,36.09806664
